Date,Daily infected cases in Japan
2020-07-27,583
2020-07-28,971
2020-07-29,1245
2020-07-30,1305
2020-07-31,1575
2020-08-01,1537
2020-08-02,1325
2020-08-03,941
2020-08-04,1240
2020-08-05,1344
2020-08-06,1479
2020-08-07,1597
2020-08-08,1521
2020-08-09,1485
2020-08-10,829
2020-08-11,691
2020-08-12,969
2020-08-13,1175
2020-08-14,1355
2020-08-15,1233
2020-08-16,1015
2020-08-17,630
2020-08-18,903
2020-08-19,1078
2020-08-20,1176
2020-08-21,1035
2020-08-22,985
2020-08-23,737
2020-08-24,491
2020-08-25,709
2020-08-26,893
2020-08-27,870
2020-08-28,869
2020-08-29,841
2020-08-30,598
2020-08-31,430
2020-09-01,624
2020-09-02,585
2020-09-03,654
2020-09-04,582
2020-09-05,598
2020-09-06,447
2020-09-07,285
2020-09-08,510
2020-09-09,507
2020-09-10,709
2020-09-11,637
2020-09-12,639
2020-09-13,438
2020-09-14,262
2020-09-15,530
2020-09-16,543
2020-09-17,478
2020-09-18,569
2020-09-19,592
2020-09-20,469
2020-09-21,306
2020-09-22,321
2020-09-23,216
2020-09-24,475
2020-09-25,567
2020-09-26,634
2020-09-27,478
2020-09-28,294
2020-09-29,527
2020-09-30,569
2020-10-01,619
2020-10-02,537
2020-10-03,562
2020-10-04,394
2020-10-05,269
2020-10-06,495
2020-10-07,502
2020-10-08,623
2020-10-09,594
2020-10-10,666
2020-10-11,431
2020-10-12,272
2020-10-13,491
2020-10-14,550
2020-10-15,703
2020-10-16,633
2020-10-17,611
2020-10-18,422
2020-10-19,313
2020-10-20,475
2020-10-21,611
2020-10-22,609
2020-10-23,742
2020-10-24,712
2020-10-25,486
2020-10-26,401
2020-10-27,646
2020-10-28,724
2020-10-29,803
2020-10-30,767
2020-10-31,866
2020-11-01,603
2020-11-02,480
2020-11-03,860
2020-11-04,606
2020-11-05,1046
2020-11-06,1137
2020-11-07,1301
2020-11-08,934
2020-11-09,770
2020-11-10,1276
2020-11-11,1540
2020-11-12,1624
2020-11-13,1703
2020-11-14,1721
2020-11-15,1428
2020-11-16,949
2020-11-17,1685
2020-11-18,2173
2020-11-19,2382
2020-11-20,2425
2020-11-21,2570
2020-11-22,2146
2020-11-23,1513
2020-11-24,1219
2020-11-25,1925
