lineage,scorpio_call,Date
B.1.1.284,NA,2020-10-16
B.1.1.214,NA,2020-10-29
B.1,NA,2020-10-30
B.1.1.214,NA,2020-11-16
B.1.1.214,NA,2020-11-18
B.1.1.214,NA,2020-11-19
B.1.1.214,NA,2020-11-24
B.1,NA,2020-11-24
B.1.1.214,NA,2020-11-30
B.1.1.214,NA,2020-12-21
B.1.1.214,NA,2020-12-22
B.1.1.214,NA,2020-12-23
B.1.1.214,NA,2020-12-23
B.1,NA,2021-01-05
B.1.1.214,NA,2021-01-05
B.1.1.214,NA,2021-01-05
B.1.1.214,NA,2021-01-05
B.1.1.214,NA,2021-01-05
B.1.1.214,NA,2021-01-05
B.1.1.214,NA,2021-01-07
R.1,NA,2021-01-11
B.1.1.214,NA,2021-01-12
B.1.1.284,NA,2021-01-12
B.1.1.214,NA,2021-01-12
B.1.1.214,NA,2021-01-12
B.1.1.214,NA,2021-01-15
B.1.1.214,NA,2021-01-15
B.1.1.214,NA,2021-01-18
B.1.1.214,NA,2021-01-18
B.1.1.214,NA,2021-01-18
B.1.1.214,NA,2021-01-18
B.1.1.214,NA,2021-01-19
B.1.1.284,NA,2021-01-22
B.1.1.214,NA,2021-01-22
B.1.1.284,NA,2021-01-22
B.1.1.284,NA,2021-01-22
B.1.1.214,NA,2021-01-25
B.1,NA,2021-01-29
B.1.1.214,NA,2021-02-02
B.1.1.7,Alpha (B.1.1.7-like),2021-02-26
B.1.1.7,Alpha (B.1.1.7-like),2021-03-03
R.1,NA,2021-03-11
R.1,NA,2021-03-17
B.1.1.7,Alpha (B.1.1.7-like),2021-03-24
B.1.1.214,NA,2021-04-09
B.1.1.214,NA,2021-04-09
B.1.1.284,NA,2021-04-09
B.1.1.214,NA,2021-04-09
R.1,NA,2021-04-10
B.1.1.7,Alpha (B.1.1.7-like),2021-04-12
B.1.351.3,Beta (B.1.351-like),2021-04-12
R.1,NA,2021-04-12
R.1,NA,2021-04-12
B.1.1.7,Alpha (B.1.1.7-like),2021-04-13
B.1.1.318,B.1.1.318-like,2021-04-14
B.1.1.7,Alpha (B.1.1.7-like),2021-04-14
R.1,NA,2021-04-15
B.1.1.7,Alpha (B.1.1.7-like),2021-04-15
B.1.1.7,Alpha (B.1.1.7-like),2021-04-15
R.1,NA,2021-04-15
B.1.1.7,Alpha (B.1.1.7-like),2021-04-16
B.1.1.214,NA,2021-04-16
B.1.1.7,Alpha (B.1.1.7-like),2021-04-18
B.1.1.7,Alpha (B.1.1.7-like),2021-04-19
B.1.1.7,Alpha (B.1.1.7-like),2021-04-19
B.1.1.7,Alpha (B.1.1.7-like),2021-04-19
B.1.1.7,Alpha (B.1.1.7-like),2021-04-19
R.1,NA,2021-04-20
B.1.1.7,Alpha (B.1.1.7-like),2021-04-20
B.1.1.7,Alpha (B.1.1.7-like),2021-04-20
R.1,NA,2021-04-20
B.1.1.7,Alpha (B.1.1.7-like),2021-04-21
B.1.1.7,Alpha (B.1.1.7-like),2021-04-21
B.1.1.7,Alpha (B.1.1.7-like),2021-04-21
B.1.1.7,Alpha (B.1.1.7-like),2021-04-21
R.1,NA,2021-04-21
R.1,NA,2021-04-21
B.1.1.7,Alpha (B.1.1.7-like),2021-04-22
B.1.1.7,Alpha (B.1.1.7-like),2021-04-22
B.1.1.7,Alpha (B.1.1.7-like),2021-04-22
