seq_length,category
23092,Category 2
23374,Category 2
23564,Category 2
23605,Category 2
23631,Category 2
23634,Category 2
23640,Category 2
23647,Category 2
23650,Category 2
23676,Category 2
23727,Category 2
23765,Category 2
23765,Category 2
23778,Category 2
23790,Category 2
23818,Category 2
23892,Category 2
23923,Category 2
23928,Category 2
23940,Category 2
23947,Category 2
23959,Category 2
23967,Category 2
23982,Category 2
23983,Category 2
24059,Category 2
24064,Category 2
24068,Category 2
24088,Category 2
24102,Category 2
24119,Category 2
24141,Category 2
24149,Category 2
24150,Category 2
24168,Category 2
24172,Category 2
24186,Category 2
24218,Category 2
24221,Category 2
24238,Category 2
24240,Category 2
24248,Category 2
24293,Category 2
24298,Category 2
24302,Category 2
24345,Category 2
24348,Category 2
24379,Category 2
24383,Category 2
24385,Category 2
24426,Category 2
24426,Category 2
24436,Category 2
24445,Category 2
24481,Category 2
24511,Category 2
24576,Category 2
24590,Category 2
24615,Category 2
24633,Category 2
24654,Category 2
24670,Category 2
24680,Category 2
24692,Category 2
24705,Category 2
24723,Category 2
24728,Category 2
24736,Category 2
24738,Category 2
24742,Category 2
24755,Category 2
24759,Category 2
24771,Category 2
24776,Category 2
24777,Category 2
24803,Category 2
24808,Category 2
24814,Category 2
24816,Category 2
24824,Category 2
24864,Category 2
24866,Category 2
24872,Category 2
24882,Category 2
24925,Category 2
24930,Category 2
24937,Category 2
24937,Category 2
24953,Category 2
24953,Category 2
24960,Category 2
24962,Category 2
24963,Category 2
24967,Category 2
24976,Category 2
24986,Category 2
24992,Category 2
25005,Category 2
25025,Category 2
25033,Category 2
25048,Category 2
25059,Category 2
25059,Category 2
25060,Category 2
25063,Category 2
25066,Category 2
25069,Category 2
25075,Category 2
25081,Category 2
25088,Category 2
25095,Category 2
25126,Category 2
25137,Category 2
25141,Category 2
25143,Category 2
25146,Category 2
25148,Category 2
25149,Category 2
25154,Category 2
25166,Category 2
25173,Category 2
25173,Category 2
25214,Category 2
25219,Category 2
25220,Category 2
25224,Category 2
25229,Category 2
25235,Category 2
25238,Category 2
25252,Category 2
25259,Category 2
25260,Category 2
25264,Category 2
25267,Category 2
25286,Category 2
25288,Category 2
25302,Category 2
25306,Category 2
25311,Category 2
25312,Category 2
25316,Category 2
25316,Category 2
25327,Category 2
25330,Category 2
25342,Category 2
25343,Category 2
25345,Category 2
25347,Category 2
25364,Category 2
25366,Category 2
25369,Category 2
25370,Category 2
25374,Category 2
25376,Category 2
25386,Category 2
25390,Category 2
25391,Category 2
25395,Category 2
25399,Category 2
25407,Category 2
25407,Category 2
25423,Category 2
25426,Category 2
25431,Category 2
25431,Category 2
25432,Category 2
25432,Category 2
25447,Category 2
25448,Category 2
25448,Category 2
25456,Category 2
25459,Category 2
25464,Category 2
25466,Category 2
25486,Category 2
25488,Category 2
25503,Category 2
25505,Category 2
25508,Category 2
25517,Category 2
25529,Category 2
25536,Category 2
25538,Category 2
25538,Category 2
25560,Category 2
25562,Category 2
25571,Category 2
25579,Category 2
25581,Category 2
25594,Category 2
25597,Category 2
25601,Category 2
25619,Category 2
25631,Category 2
25632,Category 2
25633,Category 2
25635,Category 2
25635,Category 2
25652,Category 2
25655,Category 2
25658,Category 2
25663,Category 2
25664,Category 2
25665,Category 2
25667,Category 2
25680,Category 2
25687,Category 2
25687,Category 2
25689,Category 2
25692,Category 2
25694,Category 2
25694,Category 2
25696,Category 2
25698,Category 2
25698,Category 2
25700,Category 2
25714,Category 2
25716,Category 2
25724,Category 2
25724,Category 2
25729,Category 2
25733,Category 2
25740,Category 2
25741,Category 2
25743,Category 2
25744,Category 2
25746,Category 2
25746,Category 2
25746,Category 2
25746,Category 2
25751,Category 2
25772,Category 2
25772,Category 2
25777,Category 2
25787,Category 2
25802,Category 2
25803,Category 2
25807,Category 2
25813,Category 2
25813,Category 2
25820,Category 2
25825,Category 2
25842,Category 2
25852,Category 2
25855,Category 2
25858,Category 2
25858,Category 2
25861,Category 2
25865,Category 2
25866,Category 2
25884,Category 2
25884,Category 2
25887,Category 2
25890,Category 2
25890,Category 2
25891,Category 2
25894,Category 2
25904,Category 2
25905,Category 2
25909,Category 2
25910,Category 2
25910,Category 2
25910,Category 2
25912,Category 2
25913,Category 2
25913,Category 2
25918,Category 2
25918,Category 2
25920,Category 2
25930,Category 2
25934,Category 2
25938,Category 2
25943,Category 2
25944,Category 2
25945,Category 2
25947,Category 2
25949,Category 2
25951,Category 2
25953,Category 2
25963,Category 2
25966,Category 2
25967,Category 2
25968,Category 2
25969,Category 2
25972,Category 2
25982,Category 2
25989,Category 2
25990,Category 2
25990,Category 2
25998,Category 2
26000,Category 2
26003,Category 2
26006,Category 2
26007,Category 2
26008,Category 2
26011,Category 2
26012,Category 2
26014,Category 2
26018,Category 2
26018,Category 2
26020,Category 2
26020,Category 2
26023,Category 2
26036,Category 2
26039,Category 2
26053,Category 2
26057,Category 2
26067,Category 2
26070,Category 2
26074,Category 2
26075,Category 2
26077,Category 2
26084,Category 2
26085,Category 2
26086,Category 2
26088,Category 2
26088,Category 2
26088,Category 2
26089,Category 2
26092,Category 2
26102,Category 2
26104,Category 2
26106,Category 2
26106,Category 2
26109,Category 2
26115,Category 2
26117,Category 2
26119,Category 2
26122,Category 2
26126,Category 2
26127,Category 2
26131,Category 2
26134,Category 2
26134,Category 2
26136,Category 2
26138,Category 2
26139,Category 2
26141,Category 2
26142,Category 2
26143,Category 2
26143,Category 2
26144,Category 2
26147,Category 2
26148,Category 2
26150,Category 2
26150,Category 2
26150,Category 2
26153,Category 2
26154,Category 2
26160,Category 2
26165,Category 2
26169,Category 2
26171,Category 2
26182,Category 2
26190,Category 2
26192,Category 2
26192,Category 2
26195,Category 2
26196,Category 2
26199,Category 2
26199,Category 2
26201,Category 2
26210,Category 2
26214,Category 2
26220,Category 2
26221,Category 2
26224,Category 2
26225,Category 2
26226,Category 2
26227,Category 2
26227,Category 2
26227,Category 2
26229,Category 2
26233,Category 2
26233,Category 2
26234,Category 2
26238,Category 2
26239,Category 2
26239,Category 2
26240,Category 2
26241,Category 2
26248,Category 2
26250,Category 2
26254,Category 2
26259,Category 2
26260,Category 2
26261,Category 2
26264,Category 2
26271,Category 2
26272,Category 2
26273,Category 2
26277,Category 2
26282,Category 2
26282,Category 2
26284,Category 2
26287,Category 2
26287,Category 2
26288,Category 2
26288,Category 2
26290,Category 2
26293,Category 2
26294,Category 2
26295,Category 2
26296,Category 2
26300,Category 2
26300,Category 2
26304,Category 2
26306,Category 2
26307,Category 2
26308,Category 2
26314,Category 2
26319,Category 2
26319,Category 2
26321,Category 2
26323,Category 2
26323,Category 2
26323,Category 2
26326,Category 2
26327,Category 2
26342,Category 2
26342,Category 2
26343,Category 2
26345,Category 2
26348,Category 2
26351,Category 2
26352,Category 2
26352,Category 2
26353,Category 2
26353,Category 2
26356,Category 2
26357,Category 2
26359,Category 2
26359,Category 2
26362,Category 2
26362,Category 2
26365,Category 2
26365,Category 2
26371,Category 2
26373,Category 2
26373,Category 2
26374,Category 2
26376,Category 2
26376,Category 2
26378,Category 2
26379,Category 2
26381,Category 2
26382,Category 2
26384,Category 2
26386,Category 2
26389,Category 2
26391,Category 2
26393,Category 2
26394,Category 2
26395,Category 2
26397,Category 2
26402,Category 2
26407,Category 2
26411,Category 2
26412,Category 2
26413,Category 2
26413,Category 2
26418,Category 2
26419,Category 2
26422,Category 2
26424,Category 2
26427,Category 2
26428,Category 2
26432,Category 2
26434,Category 2
26434,Category 2
26435,Category 2
26437,Category 2
26437,Category 2
26440,Category 2
26441,Category 2
26442,Category 2
26442,Category 2
26447,Category 2
26448,Category 2
26449,Category 2
26450,Category 2
26451,Category 2
26459,Category 2
26460,Category 2
26460,Category 2
26470,Category 2
26471,Category 2
26472,Category 2
26476,Category 2
26477,Category 2
26480,Category 2
26481,Category 2
26482,Category 2
26484,Category 2
26484,Category 2
26485,Category 2
26487,Category 2
26487,Category 2
26490,Category 2
26490,Category 2
26492,Category 2
26493,Category 2
26497,Category 2
26497,Category 2
26503,Category 2
26503,Category 2
26504,Category 2
26504,Category 2
26504,Category 2
26504,Category 2
26506,Category 2
26507,Category 2
26509,Category 2
26509,Category 2
26509,Category 2
26511,Category 2
26511,Category 2
26512,Category 2
26514,Category 2
26514,Category 2
26514,Category 2
26515,Category 2
26517,Category 2
26517,Category 2
26517,Category 2
26523,Category 2
26523,Category 2
26524,Category 2
26525,Category 2
26527,Category 2
26530,Category 2
26533,Category 2
26536,Category 2
26537,Category 2
26540,Category 2
26541,Category 2
26543,Category 2
26544,Category 2
26550,Category 2
26550,Category 2
26550,Category 2
26562,Category 2
26563,Category 2
26565,Category 2
26565,Category 2
26565,Category 2
26565,Category 2
26566,Category 2
26569,Category 2
26571,Category 2
26572,Category 2
26572,Category 2
26573,Category 2
26573,Category 2
26573,Category 2
26575,Category 2
26577,Category 2
26580,Category 2
26580,Category 2
26583,Category 2
26586,Category 2
26587,Category 2
26587,Category 2
26593,Category 2
26593,Category 2
26594,Category 2
